	OASPL Time History(Microphone)	OASPL Time History(Microphone)	
X [s]	dB [Ref 2.00e-05 Pa]	dB [Ref 2.00e-05 Pa]
0.000000e+00	5.047900e+01	6.227861e+01
1.000000e+00	5.329014e+01	5.839923e+01
2.000000e+00	5.743389e+01	5.714766e+01
3.000000e+00	5.861513e+01	5.800415e+01
4.000000e+00	5.895822e+01	5.888615e+01
5.000000e+00	5.859784e+01	5.897635e+01
6.000000e+00	5.910894e+01	6.099731e+01
7.000000e+00	5.773037e+01	6.023091e+01
8.000000e+00	5.656758e+01	5.908741e+01
9.000000e+00	5.611234e+01	6.010246e+01
1.000000e+01	5.591767e+01	6.237664e+01
1.100000e+01	5.773211e+01	6.298841e+01
1.200000e+01	5.711942e+01	6.169061e+01
1.300000e+01	5.686683e+01	6.013651e+01
1.400000e+01	5.739833e+01	6.180316e+01
1.500000e+01	5.722890e+01	6.331344e+01
1.600000e+01	5.741402e+01	6.146106e+01
1.700000e+01	5.761871e+01	6.003412e+01
1.800000e+01	5.761367e+01	5.921978e+01
1.900000e+01	5.684126e+01	5.823360e+01
2.000000e+01	5.528038e+01	5.741341e+01
2.100000e+01	5.448373e+01	5.721543e+01
2.200000e+01	5.681565e+01	5.672428e+01
2.300000e+01	5.580500e+01	5.575306e+01
2.400000e+01	5.772627e+01	5.656080e+01
2.500000e+01	5.694184e+01	5.623430e+01
2.600000e+01	5.874273e+01	5.431221e+01
2.700000e+01	5.783788e+01	5.112247e+01
2.800000e+01	6.046075e+01	4.854798e+01
2.900000e+01	6.035278e+01	4.784649e+01
3.000000e+01	6.169362e+01	4.905550e+01
3.100000e+01	6.269062e+01	4.957451e+01
3.200000e+01	6.326954e+01	4.789338e+01
3.300000e+01	6.438248e+01	4.759075e+01
3.400000e+01	6.506133e+01	4.703029e+01
3.500000e+01	6.447650e+01	4.899349e+01
3.600000e+01	6.442271e+01	5.477143e+01
3.700000e+01	6.534991e+01	5.855792e+01
3.800000e+01	6.642416e+01	6.168548e+01
3.900000e+01	6.698587e+01	6.035938e+01
4.000000e+01	6.788856e+01	6.109527e+01
4.100000e+01	6.890493e+01	6.440945e+01
4.200000e+01	6.889951e+01	6.506736e+01
4.300000e+01	6.820024e+01	6.391253e+01
4.400000e+01	6.863174e+01	6.467574e+01
4.500000e+01	6.885042e+01	6.595961e+01
4.600000e+01	6.899176e+01	6.761027e+01
4.700000e+01	6.846779e+01	6.591626e+01
4.800000e+01	6.816405e+01	6.611756e+01
4.900000e+01	6.823335e+01	6.658424e+01
5.000000e+01	6.900060e+01	6.732590e+01
5.100000e+01	6.852593e+01	6.810518e+01
5.200000e+01	6.786731e+01	6.987639e+01
5.300000e+01	6.777039e+01	6.956994e+01
5.400000e+01	6.734286e+01	6.858359e+01
5.500000e+01	6.666276e+01	6.863515e+01
5.600000e+01	6.585201e+01	6.866611e+01
5.700000e+01	6.495994e+01	6.863058e+01
5.800000e+01	6.432896e+01	6.853287e+01
5.900000e+01	6.366650e+01	6.838100e+01
6.000000e+01	6.289068e+01	6.780668e+01
6.100000e+01	6.165317e+01	6.837804e+01
6.200000e+01	6.037717e+01	6.792236e+01
6.300000e+01	5.979913e+01	6.715510e+01
6.400000e+01	5.861556e+01	6.622513e+01
6.500000e+01	5.750119e+01	6.535944e+01
6.600000e+01	5.530352e+01	6.515253e+01
6.700000e+01	5.274499e+01	6.442667e+01
6.800000e+01	5.406350e+01	6.379252e+01
6.900000e+01	5.793676e+01	6.292121e+01
7.000000e+01	5.792160e+01	6.249033e+01
7.100000e+01	5.725352e+01	6.203450e+01
7.200000e+01	5.802099e+01	6.177355e+01
7.300000e+01	5.737199e+01	6.067262e+01
7.400000e+01	5.736818e+01	5.963829e+01
7.500000e+01	5.715781e+01	5.905168e+01
7.600000e+01	5.905153e+01	5.789742e+01
7.700000e+01	5.950138e+01	5.647853e+01
7.800000e+01	6.075932e+01	5.547488e+01
7.900000e+01	6.002924e+01	5.328219e+01
8.000000e+01	5.924394e+01	5.051031e+01
8.100000e+01	5.865149e+01	5.246099e+01
8.200000e+01	5.980604e+01	5.630485e+01
8.300000e+01	6.279639e+01	5.796529e+01
8.400000e+01	6.430011e+01	5.970501e+01
8.500000e+01	6.448737e+01	6.114880e+01
8.600000e+01	6.471515e+01	6.077366e+01
8.700000e+01	6.424094e+01	6.113151e+01
8.800000e+01	6.420113e+01	6.075501e+01
8.900000e+01	6.411083e+01	6.132269e+01
9.000000e+01	6.497617e+01	6.270572e+01
9.100000e+01	6.591402e+01	6.285794e+01
9.200000e+01	6.602183e+01	6.223335e+01
9.300000e+01	6.536879e+01	6.245702e+01
9.400000e+01	6.472318e+01	6.410663e+01
9.500000e+01	6.386952e+01	6.537257e+01
9.600000e+01	6.292076e+01	6.564183e+01
