	OASPL Time History(Microphone)	
X [s]	dB [Ref 2.00e-05 Pa]
0.000000e+00	5.030764e+01
1.000000e+00	5.379335e+01
2.000000e+00	5.825148e+01
3.000000e+00	5.824969e+01
4.000000e+00	5.723918e+01
5.000000e+00	5.728953e+01
6.000000e+00	5.839053e+01
7.000000e+00	5.961721e+01
8.000000e+00	6.330968e+01
9.000000e+00	6.358929e+01
1.000000e+01	6.271265e+01
1.100000e+01	6.264471e+01
1.200000e+01	6.490842e+01
1.300000e+01	6.427629e+01
1.400000e+01	6.439815e+01
1.500000e+01	6.417593e+01
1.600000e+01	6.431654e+01
1.700000e+01	6.765668e+01
1.800000e+01	6.720033e+01
1.900000e+01	6.637022e+01
2.000000e+01	6.607809e+01
2.100000e+01	6.632436e+01
2.200000e+01	6.712614e+01
2.300000e+01	6.704086e+01
2.400000e+01	6.660275e+01
2.500000e+01	6.680058e+01
2.600000e+01	6.695940e+01
2.700000e+01	6.754940e+01
2.800000e+01	6.763204e+01
2.900000e+01	6.787397e+01
3.000000e+01	6.763757e+01
3.100000e+01	6.793421e+01
3.200000e+01	6.735033e+01
3.300000e+01	6.663969e+01
3.400000e+01	6.579288e+01
3.500000e+01	6.521150e+01
3.600000e+01	6.439127e+01
3.700000e+01	6.374669e+01
3.800000e+01	6.327555e+01
3.900000e+01	6.236381e+01
4.000000e+01	6.198747e+01
4.100000e+01	5.998364e+01
4.200000e+01	5.960966e+01
4.300000e+01	5.780581e+01
4.400000e+01	5.585136e+01
4.500000e+01	5.354835e+01
4.600000e+01	5.133739e+01
4.700000e+01	4.895815e+01
4.800000e+01	5.394179e+01
4.900000e+01	5.837303e+01
5.000000e+01	6.023708e+01
5.100000e+01	5.846315e+01
5.200000e+01	5.976401e+01
5.300000e+01	6.038424e+01
5.400000e+01	5.903791e+01
5.500000e+01	5.773118e+01
5.600000e+01	5.689297e+01
5.700000e+01	5.740847e+01
5.800000e+01	5.785426e+01
5.900000e+01	6.023844e+01
6.000000e+01	5.981281e+01
6.100000e+01	5.822382e+01
6.200000e+01	5.791856e+01
6.300000e+01	5.955283e+01
6.400000e+01	6.311588e+01
6.500000e+01	6.486176e+01
6.600000e+01	6.656078e+01
6.700000e+01	6.856689e+01
6.800000e+01	6.757666e+01
6.900000e+01	6.561295e+01
7.000000e+01	6.505759e+01
7.100000e+01	6.368963e+01
7.200000e+01	6.385699e+01
7.300000e+01	6.339702e+01
7.400000e+01	6.293139e+01
7.500000e+01	6.266121e+01
7.600000e+01	6.289750e+01
7.700000e+01	6.290833e+01
7.800000e+01	6.260233e+01
7.900000e+01	6.084423e+01
8.000000e+01	5.969427e+01
8.100000e+01	5.871588e+01
8.200000e+01	5.677461e+01
8.300000e+01	5.453813e+01
8.400000e+01	5.599562e+01
8.500000e+01	5.275770e+01
8.600000e+01	4.942558e+01
8.700000e+01	5.258559e+01
8.800000e+01	5.793626e+01
8.900000e+01	5.892751e+01
9.000000e+01	5.998652e+01
9.100000e+01	6.032638e+01
9.200000e+01	6.222431e+01
9.300000e+01	6.512991e+01
9.400000e+01	6.628462e+01
9.500000e+01	6.522176e+01
9.600000e+01	6.518398e+01
9.700000e+01	6.657758e+01
9.800000e+01	6.771484e+01
9.900000e+01	6.760676e+01
1.000000e+02	6.640359e+01
1.010000e+02	6.551630e+01
1.020000e+02	6.577974e+01
1.030000e+02	6.649416e+01
1.040000e+02	6.672919e+01
1.050000e+02	6.543457e+01
1.060000e+02	6.422351e+01
1.070000e+02	6.307526e+01
1.080000e+02	6.215208e+01
1.090000e+02	6.178914e+01
1.100000e+02	6.215909e+01
1.110000e+02	6.131847e+01
1.120000e+02	5.982716e+01
1.130000e+02	5.872743e+01
1.140000e+02	5.748963e+01
1.150000e+02	5.671008e+01
1.160000e+02	5.604200e+01
1.170000e+02	5.557962e+01
1.180000e+02	5.428073e+01
1.190000e+02	5.291783e+01
1.200000e+02	5.304265e+01
1.210000e+02	5.209865e+01
1.220000e+02	5.301880e+01
1.230000e+02	5.782397e+01
1.240000e+02	5.963473e+01
1.250000e+02	6.098651e+01
1.260000e+02	6.076153e+01
1.270000e+02	6.054900e+01
1.280000e+02	6.592513e+01
1.290000e+02	6.638032e+01
1.300000e+02	6.491527e+01
1.310000e+02	6.615945e+01
1.320000e+02	6.703153e+01
1.330000e+02	6.948862e+01
1.340000e+02	6.772031e+01
1.350000e+02	6.593807e+01
1.360000e+02	6.549128e+01
1.370000e+02	6.504014e+01
1.380000e+02	6.620403e+01
